fecha,cuenta,concepto,rfc,cargo,abono,saldo
2026-01-15,5200,Mantenimiento,KLM010203KL5,28413.46,0.00,3437501.66
2026-01-15,5300,Logística y transporte,PQR170418PQ7,73398.99,0.00,3510900.65
2026-01-15,5000,Compra de insumos,QRS070809QR7,35989.00,0.00,3546889.65
2026-01-16,5000,Compra de insumos,YZA230724YZ0,14376.44,0.00,3561266.09
2026-01-16,5000,Compra de insumos,YZA230724YZ0,81695.35,0.00,3642961.44
2026-01-17,5300,Logística y transporte,CDE040506CD2,33233.89,0.00,3676195.33
2026-01-17,5600,Servicios tecnológicos,PQR170418PQ7,13758.66,0.00,3689953.99
2026-01-17,5000,Compra de insumos,QRS070809QR7,12432.40,0.00,3702386.39
2026-01-18,4100,Cobro de cliente,KLM010203KL5,0.00,83912.94,3618473.45
2026-01-18,5500,Publicidad,STU190520ST8,31110.35,0.00,3649583.80
2026-01-18,5600,Servicios tecnológicos,YZA230724YZ0,47865.13,0.00,3697448.93
2026-01-18,5000,Compra de insumos,ZAB150316ZA0,30488.90,0.00,3727937.83
2026-01-19,5000,Compra de insumos,HIJ311132HI4,52429.11,0.00,3780366.94
2026-01-19,5200,Mantenimiento,JKL130214JK5,76797.59,0.00,3857164.53
2026-01-19,5100,Servicios profesionales,PQR170418PQ7,45495.66,0.00,3902660.19
2026-01-19,5200,Mantenimiento,STU190520ST8,14372.16,0.00,3917032.35
2026-01-20,5200,Mantenimiento,FGH291030FG3,13612.38,0.00,3930644.73
2026-01-20,5000,Compra de insumos,MNO150316MN6,26674.14,0.00,3957318.87
2026-01-20,5000,Compra de insumos,PQR170418PQ7,33469.43,0.00,3990788.30
2026-01-20,5500,Publicidad,TUV101112TU8,38177.91,0.00,4028966.21
2026-01-20,5200,Mantenimiento,TUV101112TU8,75073.36,0.00,4104039.57
2026-01-21,5600,Servicios tecnológicos,HIJ311132HI4,19659.21,0.00,4123698.78
2026-01-21,5400,Arrendamiento,KLM010203KL5,61547.21,0.00,4185245.99
2026-01-21,5200,Mantenimiento,YZA230724YZ0,21405.88,0.00,4206651.87
2026-01-22,5000,Compra de insumos,EFG070809EF3,62466.05,0.00,4269117.92
2026-01-22,4100,Cobro de cliente,KLM010203KL5,0.00,56704.47,4212413.45
2026-01-23,5100,Servicios profesionales,HIJ311132HI4,38305.56,0.00,4250719.01
2026-01-23,5600,Servicios tecnológicos,TUV101112TU8,21960.75,0.00,4272679.76
2026-01-24,5300,Logística y transporte,ZAB150316ZA0,50837.97,0.00,4323517.73
2026-01-25,4100,Cobro de cliente,BCD250826BC1,0.00,69077.35,4254440.38
2026-01-25,5100,Servicios profesionales,TUV101112TU8,69058.02,0.00,4323498.40
2026-01-25,5100,Servicios profesionales,YZA230724YZ0,32433.90,0.00,4355932.30
2026-01-26,5000,Compra de insumos,JKL130214JK5,58098.66,0.00,4414030.96
2026-01-26,5300,Logística y transporte,WXY130214WX9,27508.95,0.00,4441539.91
2026-01-26,5200,Mantenimiento,WXY130214WX9,48998.46,0.00,4490538.37
2026-01-28,5500,Publicidad,FGH291030FG3,48718.24,0.00,4539256.61
2026-01-28,5000,Compra de insumos,ZAB150316ZA0,75084.92,0.00,4614341.53
2026-01-29,5600,Servicios tecnológicos,DEF270928DE2,56570.87,0.00,4670912.40
2026-01-29,5600,Servicios tecnológicos,FGH291030FG3,69246.38,0.00,4740158.78
2026-01-29,5300,Logística y transporte,JKL130214JK5,52917.76,0.00,4793076.54
2026-01-29,5300,Logística y transporte,STU190520ST8,30080.69,0.00,4823157.23
2026-01-29,5000,Compra de insumos,TUV101112TU8,61888.95,0.00,4885046.18
2026-01-29,5000,Compra de insumos,VWX210622VW9,43426.64,0.00,4928472.82
2026-01-30,4100,Cobro de cliente,PQR170418PQ7,0.00,94411.69,4834061.13
2026-01-30,4100,Cobro de cliente,YZA230724YZ0,0.00,53582.93,4780478.20
2026-01-31,4100,Cobro de cliente,CDE040506CD2,0.00,87758.24,4692719.96
2026-01-31,4100,Cobro de cliente,KLM010203KL5,0.00,61674.36,4631045.60
2026-01-31,5100,Servicios profesionales,PQR170418PQ7,35945.13,0.00,4666990.73
2026-02-01,5100,Servicios profesionales,EFG070809EF3,33947.94,0.00,4700938.67
2026-02-01,5300,Logística y transporte,MNO150316MN6,4784.47,0.00,4705723.14
2026-02-01,5600,Servicios tecnológicos,QRS070809QR7,18129.23,0.00,4723852.37
2026-02-01,5600,Servicios tecnológicos,STU190520ST8,12950.07,0.00,4736802.44
2026-02-01,5300,Logística y transporte,YZA230724YZ0,42968.18,0.00,4779770.62
2026-02-02,4100,Cobro de cliente,FGH291030FG3,0.00,81346.89,4698423.73
2026-02-03,4100,Cobro de cliente,BCD250826BC1,0.00,59848.13,4638575.60
2026-02-03,5600,Servicios tecnológicos,DEF270928DE2,16138.14,0.00,4654713.74
2026-02-03,5500,Publicidad,YZA230724YZ0,52819.63,0.00,4707533.37
2026-02-04,5500,Publicidad,KLM010203KL5,8490.04,0.00,4716023.41
2026-02-04,5300,Logística y transporte,STU190520ST8,75071.47,0.00,4791094.88
2026-02-05,5600,Servicios tecnológicos,CDE040506CD2,32430.44,0.00,4823525.32
2026-02-06,5500,Publicidad,BMX010203AB1,7314.96,0.00,4830840.28
2026-02-06,5500,Publicidad,YZA230724YZ0,41595.12,0.00,4872435.40
2026-02-08,5000,Compra de insumos,NOP040506NO6,20499.52,0.00,4892934.92
2026-02-08,5200,Mantenimiento,ZAB150316ZA0,4713.32,0.00,4897648.24
2026-02-09,5400,Arrendamiento,FGH291030FG3,20004.28,0.00,4917652.52
2026-02-09,5000,Compra de insumos,HIJ311132HI4,13542.77,0.00,4931195.29
2026-02-10,5200,Mantenimiento,EFG070809EF3,61518.40,0.00,4992713.69
2026-02-10,4100,Cobro de cliente,VWX210622VW9,0.00,81278.19,4911435.50
2026-02-11,5000,Compra de insumos,EFG070809EF3,49129.61,0.00,4960565.11
2026-02-11,5300,Logística y transporte,MNO150316MN6,64632.04,0.00,5025197.15
2026-02-11,5300,Logística y transporte,QRS070809QR7,24698.10,0.00,5049895.25
2026-02-12,5200,Mantenimiento,CDE040506CD2,42706.75,0.00,5092602.00
2026-02-12,5100,Servicios profesionales,GHI101112GH4,12798.62,0.00,5105400.62
2026-02-12,4100,Cobro de cliente,KLM010203KL5,0.00,54904.05,5050496.57
2026-02-12,5100,Servicios profesionales,PQR170418PQ7,17197.19,0.00,5067693.76
2026-02-12,5000,Compra de insumos,YZA230724YZ0,30606.91,0.00,5098300.67
2026-02-13,5000,Compra de insumos,GHI101112GH4,9946.59,0.00,5108247.26
2026-02-13,5300,Logística y transporte,QRS070809QR7,76070.42,0.00,5184317.68
2026-02-13,5000,Compra de insumos,STU190520ST8,20426.51,0.00,5204744.19
2026-02-14,5200,Mantenimiento,BMX010203AB1,32985.40,0.00,5237729.59
2026-02-14,5500,Publicidad,JKL130214JK5,34905.25,0.00,5272634.84
2026-02-14,5600,Servicios tecnológicos,YZA230724YZ0,40347.85,0.00,5312982.69
2026-02-15,5200,Mantenimiento,BMX010203AB1,16907.00,0.00,5329889.69
2026-02-15,5500,Publicidad,CDE040506CD2,28119.26,0.00,5358008.95
2026-02-15,5100,Servicios profesionales,CDE040506CD2,60726.37,0.00,5418735.32
2026-02-16,5300,Logística y transporte,MNO150316MN6,7507.03,0.00,5426242.35
2026-02-16,5100,Servicios profesionales,MNO150316MN6,25854.27,0.00,5452096.62
2026-02-17,4100,Cobro de cliente,NOP040506NO6,0.00,69281.43,5382815.19
2026-02-18,5300,Logística y transporte,HIJ311132HI4,79328.09,0.00,5462143.28
2026-02-18,5100,Servicios profesionales,MNO150316MN6,30407.49,0.00,5492550.77
2026-02-18,4100,Cobro de cliente,QRS070809QR7,0.00,93440.65,5399110.12
2026-02-19,5200,Mantenimiento,BCD250826BC1,49075.52,0.00,5448185.64
2026-02-19,4100,Cobro de cliente,TUV101112TU8,0.00,56350.58,5391835.06
2026-02-19,5100,Servicios profesionales,TUV101112TU8,15703.31,0.00,5407538.37
2026-02-19,5400,Arrendamiento,VWX210622VW9,42703.04,0.00,5450241.41
2026-02-20,5400,Arrendamiento,GHI101112GH4,79880.51,0.00,5530121.92
2026-02-20,5500,Publicidad,MNO150316MN6,11513.95,0.00,5541635.87
2026-02-20,5600,Servicios tecnológicos,MNO150316MN6,51637.60,0.00,5593273.47
2026-02-20,5300,Logística y transporte,STU190520ST8,62576.46,0.00,5655849.93
2026-02-20,5300,Logística y transporte,ZAB150316ZA0,43685.60,0.00,5699535.53
2026-02-22,5200,Mantenimiento,NOP040506NO6,51978.49,0.00,5751514.02
2026-02-23,5500,Publicidad,JKL130214JK5,17708.17,0.00,5769222.19
2026-02-23,4100,Cobro de cliente,PQR170418PQ7,0.00,27829.03,5741393.16
2026-02-24,5000,Compra de insumos,PQR170418PQ7,6801.74,0.00,5748194.90
2026-02-24,5600,Servicios tecnológicos,QRS070809QR7,7867.66,0.00,5756062.56
2026-02-25,5500,Publicidad,MNO150316MN6,49201.53,0.00,5805264.09
2026-02-26,5600,Servicios tecnológicos,EFG070809EF3,35020.68,0.00,5840284.77
2026-02-26,5500,Publicidad,KLM010203KL5,37263.84,0.00,5877548.61
2026-02-26,5500,Publicidad,STU190520ST8,39595.37,0.00,5917143.98
2026-02-26,5000,Compra de insumos,TUV101112TU8,42439.14,0.00,5959583.12
2026-02-27,5200,Mantenimiento,MNO150316MN6,77536.01,0.00,6037119.13
2026-02-27,5100,Servicios profesionales,QRS070809QR7,20440.00,0.00,6057559.13
2026-02-28,5300,Logística y transporte,DEF270928DE2,47700.41,0.00,6105259.54
2026-02-28,5500,Publicidad,PQR170418PQ7,20328.50,0.00,6125588.04
2026-03-01,5500,Publicidad,EFG070809EF3,40873.35,0.00,6166461.39
2026-03-01,4100,Cobro de cliente,JKL130214JK5,0.00,51487.79,6114973.60
2026-03-01,5600,Servicios tecnológicos,WXY130214WX9,45979.96,0.00,6160953.56
2026-03-02,5200,Mantenimiento,GHI101112GH4,34582.74,0.00,6195536.30
2026-03-02,5300,Logística y transporte,GHI101112GH4,74008.38,0.00,6269544.68
2026-03-02,4100,Cobro de cliente,VWX210622VW9,0.00,17140.01,6252404.67
2026-03-02,5500,Publicidad,ZAB150316ZA0,34037.94,0.00,6286442.61
2026-03-04,5100,Servicios profesionales,BCD250826BC1,20348.38,0.00,6306790.99
2026-03-04,5300,Logística y transporte,FGH291030FG3,81438.69,0.00,6388229.68
2026-03-05,5500,Publicidad,BMX010203AB1,20532.31,0.00,6408761.99
2026-03-05,5600,Servicios tecnológicos,FGH291030FG3,52114.32,0.00,6460876.31
2026-03-06,5300,Logística y transporte,EFG070809EF3,23598.89,0.00,6484475.20
2026-03-06,5000,Compra de insumos,GHI101112GH4,80539.34,0.00,6565014.54
2026-03-07,5100,Servicios profesionales,BCD250826BC1,77787.58,0.00,6642802.12
2026-03-07,5100,Servicios profesionales,GHI101112GH4,57213.36,0.00,6700015.48
2026-03-07,5500,Publicidad,PQR170418PQ7,63313.12,0.00,6763328.60
2026-03-07,4100,Cobro de cliente,YZA230724YZ0,0.00,21092.16,6742236.44
2026-03-08,5100,Servicios profesionales,JKL130214JK5,9515.48,0.00,6751751.92
2026-03-09,5600,Servicios tecnológicos,BCD250826BC1,51952.34,0.00,6803704.26
2026-03-09,5400,Arrendamiento,MNO150316MN6,51979.06,0.00,6855683.32
2026-03-10,5200,Mantenimiento,DEF270928DE2,19977.97,0.00,6875661.29
2026-03-11,5100,Servicios profesionales,JKL130214JK5,17131.63,0.00,6892792.92
2026-03-11,5400,Arrendamiento,YZA230724YZ0,65291.47,0.00,6958084.39
2026-03-12,4100,Cobro de cliente,DEF270928DE2,0.00,8807.42,6949276.97
2026-03-13,5500,Publicidad,MNO150316MN6,33261.44,0.00,6982538.41
2026-03-13,5300,Logística y transporte,STU190520ST8,56753.14,0.00,7039291.55
2026-03-14,5200,Mantenimiento,HIJ311132HI4,7909.22,0.00,7047200.77
2026-03-14,5200,Mantenimiento,KLM010203KL5,25745.44,0.00,7072946.21
2026-03-14,5500,Publicidad,PQR170418PQ7,11190.47,0.00,7084136.68
2026-03-15,5500,Publicidad,CDE040506CD2,50450.75,0.00,7134587.43
2026-03-15,4100,Cobro de cliente,STU190520ST8,0.00,91930.78,7042656.65
2026-03-15,5200,Mantenimiento,YZA230724YZ0,36415.47,0.00,7079072.12
2026-03-16,4100,Cobro de cliente,MNO150316MN6,0.00,34851.85,7044220.27
2026-03-18,5600,Servicios tecnológicos,BMX010203AB1,73017.14,0.00,7117237.41
2026-03-18,5300,Logística y transporte,DEF270928DE2,26888.72,0.00,7144126.13
2026-03-18,5000,Compra de insumos,EFG070809EF3,20908.01,0.00,7165034.14
2026-03-18,5200,Mantenimiento,FGH291030FG3,52259.74,0.00,7217293.88
2026-03-18,5000,Compra de insumos,WXY130214WX9,18708.46,0.00,7236002.34
2026-03-18,5300,Logística y transporte,YZA230724YZ0,76528.50,0.00,7312530.84
2026-03-19,5600,Servicios tecnológicos,CDE040506CD2,23590.60,0.00,7336121.44
2026-03-19,5300,Logística y transporte,KLM010203KL5,36745.31,0.00,7372866.75
2026-03-20,5600,Servicios tecnológicos,BMX010203AB1,28561.51,0.00,7401428.26
2026-03-20,5600,Servicios tecnológicos,PQR170418PQ7,29377.15,0.00,7430805.41
2026-03-21,5300,Logística y transporte,CDE040506CD2,44876.20,0.00,7475681.61
2026-03-21,5200,Mantenimiento,MNO150316MN6,66062.81,0.00,7541744.42
2026-03-21,5400,Arrendamiento,PQR170418PQ7,6858.55,0.00,7548602.97
2026-03-22,5100,Servicios profesionales,BCD250826BC1,81287.59,0.00,7629890.56
2026-03-22,5100,Servicios profesionales,EFG070809EF3,21129.96,0.00,7651020.52
2026-03-22,5300,Logística y transporte,KLM010203KL5,20140.94,0.00,7671161.46
2026-03-22,5500,Publicidad,MNO150316MN6,41987.39,0.00,7713148.85
2026-03-22,5200,Mantenimiento,TUV101112TU8,38097.55,0.00,7751246.40
2026-03-23,5100,Servicios profesionales,BMX010203AB1,69449.86,0.00,7820696.26
2026-03-23,5100,Servicios profesionales,CDE040506CD2,6673.66,0.00,7827369.92
2026-03-23,5500,Publicidad,FGH291030FG3,10459.74,0.00,7837829.66
2026-03-23,5500,Publicidad,PQR170418PQ7,52175.69,0.00,7890005.35
2026-03-23,4100,Cobro de cliente,TUV101112TU8,0.00,41477.89,7848527.46
2026-03-23,5300,Logística y transporte,TUV101112TU8,32561.73,0.00,7881089.19
2026-03-24,5500,Publicidad,CDE040506CD2,39063.54,0.00,7920152.73
2026-03-24,5600,Servicios tecnológicos,CDE040506CD2,52141.20,0.00,7972293.93
2026-03-24,5100,Servicios profesionales,HIJ311132HI4,56258.92,0.00,8028552.85
2026-03-24,5200,Mantenimiento,QRS070809QR7,24431.60,0.00,8052984.45
2026-03-24,5600,Servicios tecnológicos,YZA230724YZ0,20412.09,0.00,8073396.54
2026-03-25,5000,Compra de insumos,NOP040506NO6,6322.05,0.00,8079718.59
2026-03-25,5400,Arrendamiento,NOP040506NO6,27696.76,0.00,8107415.35
2026-03-25,5200,Mantenimiento,NOP040506NO6,73867.47,0.00,8181282.82
2026-03-25,5400,Arrendamiento,TUV101112TU8,35158.52,0.00,8216441.34
2026-03-25,5000,Compra de insumos,TUV101112TU8,62360.38,0.00,8278801.72
2026-03-26,5300,Logística y transporte,BMX010203AB1,17524.38,0.00,8296326.10
2026-03-26,5500,Publicidad,EFG070809EF3,26313.59,0.00,8322639.69
2026-03-26,5500,Publicidad,FGH291030FG3,48343.14,0.00,8370982.83
2026-03-26,5400,Arrendamiento,KLM010203KL5,10715.98,0.00,8381698.81
2026-03-26,5000,Compra de insumos,KLM010203KL5,75930.87,0.00,8457629.68
2026-03-26,4100,Cobro de cliente,WXY130214WX9,0.00,67110.01,8390519.67
2026-03-27,5300,Logística y transporte,BCD250826BC1,15303.58,0.00,8405823.25
2026-03-28,5300,Logística y transporte,BCD250826BC1,76300.78,0.00,8482124.03
2026-03-28,5100,Servicios profesionales,FGH291030FG3,23395.01,0.00,8505519.04
2026-03-28,5300,Logística y transporte,KLM010203KL5,39305.92,0.00,8544824.96
2026-03-28,4100,Cobro de cliente,TUV101112TU8,0.00,56570.92,8488254.04
2026-03-28,5500,Publicidad,TUV101112TU8,5478.83,0.00,8493732.87
2026-03-28,4100,Cobro de cliente,YZA230724YZ0,0.00,82468.48,8411264.39
2026-03-28,5600,Servicios tecnológicos,ZAB150316ZA0,67617.83,0.00,8478882.22
2026-03-29,5100,Servicios profesionales,MNO150316MN6,22283.01,0.00,8501165.23
2026-03-29,5300,Logística y transporte,NOP040506NO6,42605.66,0.00,8543770.89
2026-03-29,5100,Servicios profesionales,QRS070809QR7,80432.91,0.00,8624203.80
2026-03-29,5500,Publicidad,YZA230724YZ0,12128.36,0.00,8636332.16
2026-03-30,5000,Compra de insumos,GHI101112GH4,67421.27,0.00,8703753.43
2026-03-31,5300,Logística y transporte,ZAB150316ZA0,20968.64,0.00,8724722.07
2026-04-01,4100,Cobro de cliente,BMX010203AB1,0.00,48051.84,8676670.23
2026-04-01,5400,Arrendamiento,BMX010203AB1,80046.12,0.00,8756716.35
2026-04-01,5600,Servicios tecnológicos,DEF270928DE2,47369.63,0.00,8804085.98
2026-04-01,5100,Servicios profesionales,EFG070809EF3,21640.54,0.00,8825726.52
2026-04-01,5000,Compra de insumos,VWX210622VW9,55622.57,0.00,8881349.09
2026-04-01,5500,Publicidad,YZA230724YZ0,70087.20,0.00,8951436.29
2026-04-01,5400,Arrendamiento,ZAB150316ZA0,80525.00,0.00,9031961.29
2026-04-01,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9081861.29
2026-04-02,5400,Arrendamiento,DEF270928DE2,41506.98,0.00,9123368.27
2026-04-02,5200,Mantenimiento,FGH291030FG3,54286.21,0.00,9177654.48
2026-04-02,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9227554.48
2026-04-03,5300,Logística y transporte,CDE040506CD2,7730.50,0.00,9235284.98
2026-04-03,5600,Servicios tecnológicos,YZA230724YZ0,65372.04,0.00,9300657.02
2026-04-03,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9350557.02
2026-04-04,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9400457.02
2026-04-05,5500,Publicidad,CDE040506CD2,73908.22,0.00,9474365.24
2026-04-05,5200,Mantenimiento,JKL130214JK5,48298.91,0.00,9522664.15
2026-04-05,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9572564.15
2026-04-06,5400,Arrendamiento,HIJ311132HI4,81984.92,0.00,9654549.07
2026-04-06,5300,Logística y transporte,KLM010203KL5,74908.93,0.00,9729458.00
2026-04-06,5200,Mantenimiento,QRS070809QR7,10879.62,0.00,9740337.62
2026-04-06,5200,Mantenimiento,QRS070809QR7,45593.77,0.00,9785931.39
2026-04-06,5400,Arrendamiento,STU190520ST8,40946.15,0.00,9826877.54
2026-04-06,5200,Mantenimiento,WXY130214WX9,15679.84,0.00,9842557.38
2026-04-06,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9892457.38
2026-04-07,5600,Servicios tecnológicos,EFG070809EF3,20727.54,0.00,9913184.92
2026-04-07,4100,Cobro de cliente,VWX210622VW9,0.00,56800.94,9856383.98
2026-04-07,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,9906283.98
2026-04-08,5400,Arrendamiento,CDE040506CD2,77364.10,0.00,9983648.08
2026-04-08,5200,Mantenimiento,DEF270928DE2,49557.86,0.00,10033205.94
2026-04-08,5400,Arrendamiento,WXY130214WX9,15247.60,0.00,10048453.54
2026-04-08,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,10098353.54
2026-04-09,4100,Cobro de cliente,JKL130214JK5,0.00,70314.58,10028038.96
2026-04-09,5000,Compra de insumos lote parcial,ZZX240101AA1,49900.00,0.00,10077938.96
2026-04-10,5200,Mantenimiento,JKL130214JK5,76148.46,0.00,10154087.42
2026-04-11,4100,Cobro de cliente,DEF270928DE2,0.00,66065.27,10088022.15
2026-04-11,4100,Cobro de cliente,EFG070809EF3,0.00,9259.31,10078762.84
2026-04-11,5200,Mantenimiento,EFG070809EF3,38817.76,0.00,10117580.60
2026-04-11,5400,Arrendamiento,MNO150316MN6,31806.72,0.00,10149387.32
2026-04-11,5100,Servicios profesionales,PQR170418PQ7,72699.83,0.00,10222087.15
2026-04-11,5000,Compra de insumos,YZA230724YZ0,5831.58,0.00,10227918.73
2026-04-12,5500,Publicidad,MNO150316MN6,35533.59,0.00,10263452.32
2026-04-12,5100,Servicios profesionales,VWX210622VW9,50718.55,0.00,10314170.87
2026-04-13,5300,Logística y transporte,MNO150316MN6,55049.85,0.00,10369220.72
2026-04-14,5600,Servicios tecnológicos,EFG070809EF3,56739.66,0.00,10425960.38
2026-04-14,5500,Publicidad,GHI101112GH4,52404.98,0.00,10478365.36
2026-04-14,5600,Servicios tecnológicos,ZAB150316ZA0,62279.07,0.00,10540644.43
2026-04-15,5600,Servicios tecnológicos,STU190520ST8,16906.05,0.00,10557550.48
2026-04-15,5300,Logística y transporte,ZAB150316ZA0,77156.25,0.00,10634706.73
2026-04-16,5500,Publicidad,HIJ311132HI4,26447.14,0.00,10661153.87
2026-04-16,5300,Logística y transporte,KLM010203KL5,19205.11,0.00,10680358.98
2026-04-16,5600,Servicios tecnológicos,NOP040506NO6,38739.57,0.00,10719098.55
2026-04-16,5300,Logística y transporte,TUV101112TU8,76802.80,0.00,10795901.35
2026-04-16,4100,Cobro de cliente,ZAB150316ZA0,0.00,81151.80,10714749.55
2026-04-17,5100,Servicios profesionales,GHI101112GH4,21784.43,0.00,10736533.98
2026-04-18,5000,Compra de insumos,EFG070809EF3,21873.94,0.00,10758407.92
2026-04-18,5000,Compra de insumos,HIJ311132HI4,32017.65,0.00,10790425.57
2026-04-19,5100,Servicios profesionales,EFG070809EF3,72856.76,0.00,10863282.33
2026-04-19,5100,Servicios profesionales,VWX210622VW9,64089.92,0.00,10927372.25
2026-04-20,5500,Publicidad,BMX010203AB1,27627.93,0.00,10955000.18
2026-04-20,5600,Servicios tecnológicos,JKL130214JK5,33383.34,0.00,10988383.52
2026-04-20,5000,Compra de insumos,VWX210622VW9,66559.00,0.00,11054942.52
2026-04-20,4100,Cobro de cliente,WXY130214WX9,0.00,31924.81,11023017.71
2026-04-20,5000,Compra de insumos,ZAB150316ZA0,74468.32,0.00,11097486.03
2026-04-21,5500,Publicidad,FGH291030FG3,75128.14,0.00,11172614.17
2026-04-21,5600,Servicios tecnológicos,HIJ311132HI4,11860.09,0.00,11184474.26
2026-04-21,5100,Servicios profesionales,TUV101112TU8,33028.05,0.00,11217502.31
2026-04-22,5400,Arrendamiento,NOP040506NO6,51104.27,0.00,11268606.58
2026-04-22,5100,Servicios profesionales,TUV101112TU8,16580.86,0.00,11285187.44
2026-04-22,5500,Publicidad,TUV101112TU8,80150.96,0.00,11365338.40
2026-04-22,5100,Servicios profesionales,WXY130214WX9,36686.00,0.00,11402024.40
2026-04-22,5200,Mantenimiento,ZAB150316ZA0,28040.05,0.00,11430064.45
2026-04-23,5000,Compra de insumos,FGH291030FG3,38693.47,0.00,11468757.92
2026-04-23,4100,Cobro de cliente,MNO150316MN6,0.00,87790.53,11380967.39
2026-04-24,5200,Mantenimiento,DEF270928DE2,34074.37,0.00,11415041.76
2026-04-24,5000,Compra de insumos,PQR170418PQ7,17391.40,0.00,11432433.16
2026-04-25,5200,Mantenimiento,BCD250826BC1,25665.41,0.00,11458098.57
2026-04-25,5200,Mantenimiento,BCD250826BC1,41103.00,0.00,11499201.57
2026-04-25,5600,Servicios tecnológicos,EFG070809EF3,60223.58,0.00,11559425.15
2026-04-25,5100,Servicios profesionales,HIJ311132HI4,20411.88,0.00,11579837.03
2026-04-25,5000,Compra de insumos,NOP040506NO6,28636.80,0.00,11608473.83
2026-04-25,5600,Servicios tecnológicos,STU190520ST8,22370.64,0.00,11630844.47
2026-04-25,5600,Servicios tecnológicos,WXY130214WX9,59668.12,0.00,11690512.59
2026-04-26,5400,Arrendamiento,DEF270928DE2,59120.58,0.00,11749633.17
2026-04-26,5000,Compra de insumos,JKL130214JK5,70790.84,0.00,11820424.01
2026-04-26,4100,Cobro de cliente,STU190520ST8,0.00,21151.11,11799272.90
2026-04-26,5100,Servicios profesionales,VWX210622VW9,27836.28,0.00,11827109.18
2026-04-27,4100,Cobro de cliente,BMX010203AB1,0.00,70898.48,11756210.70
2026-04-27,5100,Servicios profesionales,CDE040506CD2,64837.09,0.00,11821047.79
2026-04-27,5600,Servicios tecnológicos,PQR170418PQ7,70557.26,0.00,11891605.05
2026-04-27,5000,Compra de insumos,STU190520ST8,37199.04,0.00,11928804.09
2026-04-27,5100,Servicios profesionales,VWX210622VW9,28973.19,0.00,11957777.28
